claim_id,manuscript_location,statement,tier,evidence_path,figure_or_table,uncertainty,last_verified_commit
cbreak_convention,sec:break,y_rms = sqrt(a L^3/3) = (L/sqrt3) theta0(L solid): full-depth solid lateral wander (y_rms_solid_mm); multipliers 7.2-7.4 (rect) 4.9-5.1 (gyroid),ANCHORED,data/analysis/e0_break.json;analysis/break_map.py,eq:cbreak,convention statement,3e76962
estimator_agreement,sec:collapse,Seeded campaign: OLS -0.916 and WLS -0.924 agree (old OLS-vs-WLS tension closed); parameter-free -1 recovered in closure (C*N_eff geomean 1.01; slope fixed at -1 gives intercept 0.00+/-0.01),ANCHORED,data/analysis/e2_results_combined.json,tab:collapse,estimator agreement + closure,dd62c9e
voronoi_f50_closure,sec:collapse,Voronoi f=0.50 C*N_eff = 1.22 (200) / 1.26 (500) on straight-chord N_eff (realised Var exceeds chord estimate at high fill); fitted-Voronoi closure on measured Var(t_pla) k_eff = 1.01 +/- 0.01; 4 thin f20/f30 rows window-clipped (k_eff~0.84 excluded),ANCHORED,data/analysis/e2_results_combined.json,fig_neff_collapse,bootstrap 95% CIs,dd62c9e
w_window_systematic,sec:simulation,Acceptance-window systematic: full-chain re-run at 4/6 sigma_core shifts Delta_kappa4 <8%/<20% and gamma2 <2%/<12% (rect+gyroid f=0.40 200 MeV),ANCHORED,data/analysis/w_sensitivity.json;tools/w_sensitivity.py,,bounds over two anchored configs,dd62c9e
highland_residual,sec:validation,Solid-slab Highland core-width residual sigma_core/theta0-1 spans -5.21% to -3.07% over 3-16mm; primary 16mm value -3.07/-3.65/-3.31% at 200/500/1000 MeV,ANCHORED,analysis/validate_highland.py,fig:validation,step-converged physical offset (not step/cut artefact),add6a12
aeff_ratio,sec:collapse,Geant4-effective scattering power a_eff/a_Highland = 0.844 at 500 MeV (Highland overstates the Geant4-effective scattering by ~16%),ANCHORED,data/analysis/e2_results_combined.json,,a_eff=7.2486e-7 vs a_Highland=8.5908e-7 -> 0.84376,dd62c9e
print_realism_spans,sec:systematics,Ray-traced fabrication response: dimensional tolerance -18 to +15%; roughness/layer-lines -9.3 to -7.9%; microporosity -5.0 to -4.2%; infill variation -3.7 to +2.3%; Geant4 spot check -4.5%/+9.2% on rect f=0.40 200MeV,ANCHORED,data/analysis/e4_print_realism.md;data/analysis/e4_validate.json,tab:systematics,scenario/config min-max spans not statistical CIs,2136d68
msc_exponent_intervals,sec:systematics,MSC-model matched-4-config periodic collapse slopes: WentzelVI -0.993[-1.298 -0.688] (200) / -1.046[-1.270 -0.822] (500); Urban -1.030[-1.720 -0.340] (200) / -1.002[-1.644 -0.359] (500); all bracket -1; amplitude shift -40 to -70%,ANCHORED,data/analysis/e5_msc_systematic.json;data/analysis/e5_msc_systematic.md,fig:systematics;tab:systematics,two-sided 95% Student-t OLS n=4 2-dof,2136d68
periodic_pooled_exponent,sec:collapse,Periodic-family pooled (rect+schwarzp+gyroid; 200+500 MeV) OLS collapse exponent -0.932 [-0.992 -0.872] n=24; this is the primary reported collapse exponent; excludes -1 at ~2sigma (free-slope shallowness is a straight-chord topology-prefactor residual -- see periodic_exponent_residual; -1 recovered in closure); the all-topology pooled -0.916 runs shallower (Voronoi-carried at high fill),ANCHORED,data/analysis/e2_results_combined.json,tab:collapse,"FINAL (AB-MAX kept diamond excluded; not promoted) -- recomputed 2026-07-16 via collapse_fit on periodic rows (OLS + Birge bootstrap); AB-MAX ran diamond at 3e7 and did NOT promote it, so this is final",dd62c9e
periodic_exponent_residual,sec:slope_prefactor,Periodic free-slope shallowness (-0.932 vs -1) is a structured straight-chord-N_eff topology-prefactor residual not sampling noise: per-topology <C*N_eff> 0.955/0.998/1.023 for rect/schwarzp/gyroid (SEM 0.013/0.011/0.017) ~3.2sigma rect-vs-gyroid spread; residual trend +0.068 == free_slope+1; grows with energy (gyroid <C*N_eff> 0.998->1.049 from 200->500 MeV); parameter-free -1 recovered in measured-path closure k_eff=1.00+/-0.01 not the free slope,ANCHORED,data/analysis/periodic_exponent_residual.md,fig:neff_collapse,config-resampling bootstrap [-0.995 -0.869] agrees with Birge MC-error-prop CI so CI not underestimated; -1 at ~2.1sigma one-sided (~1.5% of resamples <=-1); F2 fresh-referee round 2026-07-16,feaddf6
pitch_convergence,sec:sim,Geometry-input convergence at the real campaign operating pitch (f + Var(t) ray-traced over 21-78um; cell 2.5mm f=0.40): rectilinear@52um PASS (f -0.77% Var -0.36%); gyroid/schwarzp/voronoi@78um PASS (<0.6%); diamond@78um Var +29.5% is the near-zero-Var excluded corner (no quantitative load). Geant4-transport Delta_kappa4-vs-pitch bracketing DEFERRED (needs compute box),ANCHORED,data/geom_stats/pitch_convergence.md;data/geom_stats/pitch_convergence.json,,geometry-only ray-tracer convergence vs spc=120 reference,phase2-2026-07-16
floor_thirdform,sec:systematics,Floor functional-form robustness: periodic mean k_eff under quadratic/cubic/PCHIP-spline floor = 0.990/0.994/1.001 (200 MeV) and 1.009/1.009/1.014 (500 MeV); cubic shifts <0.5%; spline up to +1.04% at 200 MeV -- comparable to the +/-0.01 closure uncertainty; floor does not carry the periodic signal,ANCHORED,data/analysis/floor_thirdform.md,,regenerated solids+periodic on pod 2026-07-16 (real Geant4); PCHIP marginally over 1% gate -- see FLAGGED_FOR_REVIEW.md,phase2-pod-2026-07-16
pitch_bracketing_dk4,sec:sim,Geant4 Delta_kappa4-vs-pitch bracketing (f=0.40 200MeV): rect 62/52/31um dk4=5.20/5.17/5.43e-10; gyroid 104/78/52um dk4=2.67/2.78/2.71e-10; all pitches overlap in 95% bootstrap CI (rect spread <=5% gyroid <=4%); transport output pitch-converged at operating resolution,ANCHORED,data/analysis/pitch_bracketing.md,,real Geant4 on pod 2026-07-16; bootstrap 95% CIs mutually overlap,phase2-pod-2026-07-16
diamond_highstats,sec:collapse,A-MAX diamond rerun at 3e7 (30x original; spc=80 field): deconvolved Delta_kappa4 resolves above zero for f<=0.40 both energies (retires the 'couldn't fail because couldn't run' concern); C*N_eff brackets 1 at 500 MeV (1.00-1.12) but runs 10-30% low at 200 MeV; f=0.50 is the N_eff->inf corner. Kept a consistency corner excluded from the fit -- NOT promoted,ANCHORED,data/analysis/abmax_summary.md;data/analysis/abmax_results.json;data/analysis/e2_results_combined.json,tab:configs,bootstrap 95% CIs; N_eff analytic nxy=80,phase2-pod-2026-07-16
voronoi_seed_scatter,sec:limitations,B-MAX Voronoi +4 seeds/fill at 3e7: realization scatter 2.5-6.0x the per-proton bootstrap CI at both energies; realisation CV 20-46% in C*N_eff (range e.g. 0.56-1.69 at f0.30); single-seed stochastic result cannot carry quantitative load -- demotion confirmed+quantified in a dedicated table. NOT restored,ANCHORED,data/analysis/abmax_summary.md;data/analysis/abmax_results.json,tab:voronoi_seed,4-seed std vs mean bootstrap-CI half-width; CV=std/mean over 4 reseeds,phase2-pod-2026-07-16
qc_exclusion_rule,sec:collapse,A-priori fit-exclusion rule (computed per config before/independent of the collapse fit): a point is daggered iff n_events<5e5 OR dk4<=0 OR bootstrap CI/|dk4|>=0.30 (floor-domination); diamond excluded structurally as N_eff->inf corner. Only 4 low-fill voronoi (f0.20/0.30) fire the CI gate all at full 3e7 stats; rule + which-fired listed per row in Table tab:configs,ANCHORED,analysis/e2_analysis.py,tab:configs,e2_analysis.py:256-257 QC_CI_FRAC=0.30 nevt_min=5e5; F3/M2 referee round,feaddf6
afford_cost_reanchor,sec:afford,Shape-channel cost re-anchored off the EXCLUDED voronoi f30 onto FITTED f40-f50 (referee M2): hardest resolved stochastic case ~5-8e7 protons to 10% (f40 5.0e7/6.1e7 f50 7.1e7/7.6e7 at 200/500 MeV) ~1 min at 1 MHz; cost ratio vs width channel ~10^5x (2-3e5); printable rect/gyroid 3-9e6 unchanged,ANCHORED,data/analysis/e3_affordability.md;data/analysis/e2_results_combined.json,fig_affordability a,N@10%=N_have*(cif/0.10)^2 on committed combined JSON; ratio uses signal-indep cif_theta0; md ratio-table full regen pending compute box,feaddf6
diamond_floor_asymmetry,sec:collapse,Diamond 200-vs-500 MeV C*N_eff asymmetry is a floor-sensitivity effect: geometry excess is only 1-8% of the raw kappa4 (floor 15-90x the signal) so the struct-minus-floor deconvolution is floor-model-dominated; the deviation tracks floor-dominance across fill (f0.40 floor 86x -> C*N_eff 0.70; f0.20 15x -> 0.87) with an energy-dependent floor-model residual (low at 200 MeV; on-line at 500). Same small-signal-on-large-floor mechanism as Voronoi. NOTE the true geometry fraction is ~energy-independent so the measured 200-vs-500 fraction gap is largely the deviation restated not floor-outgrowing-geometry,ANCHORED,data/analysis/diamond_floor_asymmetry.md;data/analysis/abmax_results.json,,raw_k4=g2*k2^2 reconstruction (k2=a_eff*f*L Result-1); 200<500 robust to k2 (cancels in ratio),phase2-pod-2026-07-16
